Название,Телефон,Сайт,Адрес,Город,Рейтинг,Кол-во отзывов,Категории,Часы работы,Ссылки для записи,Запрос
Гранд-Стиль,+7 499 905-57-77,https://grandstil.ru/,"ул. 800-летия Москвы, 4к2, вход между 6 и 7 подъездом, Москва, Россия, 127247",Москва,4.8,70,"Салон красоты, Пирсинг-салон, Студия коррекции бровей, Центр по уходу за лицом, Наращивание волос, Депиляция, Массажист, Маникюр и педикюр, Парикмахер, Восковая депиляция",четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,,салоны красоты Москва
"Лето | Салон красоты Арбатская | маникюр, стрижки",+7 495 215-18-80,http://www.l-e-t-o.ru/,"Калашный пер., 4/1с1, 1 этаж, Москва, Россия, 125009",Москва,4.7,331,"Салон красоты, Мужская парикмахерская, Косметолог-эстетист, Пирсинг-салон, Услуги электроэпиляции, Центр по уходу за лицом, Лазерная эпиляция, Массажист, Маникюр и педикюр, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://leto-centr.obiz.ru/contacts/?utm_source=gmb,салоны красоты Москва
"Салон красоты Ten Tone | Парикмахерская, коррекция бровей, маникюр Новокузнецкая",+7 499 112-40-09,https://10tentone.ru/,"Озерковская наб., 22/24с1, 105 помещение, Москва, Россия, 115184",Москва,4.8,71,"Салон красоты, Мужская парикмахерская, Студия коррекции бровей, Визажист, Стилист, Парикмахер",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,https://10tentone.ru/#b568654 https://yc.gl/book/111206/?rwg_token=AFd1xnGnFaI7GvlbP3LFv5_jGHYXnBt_NhvlX7Vc7WY5cjv3tX_Vv2--DccFnUtcgKbjPVBkM781q6qZFwrWUNOT64pCfyoP6rgq3QGk8ynxTrLXjuLseYk%3D,салоны красоты Москва
Fonte Beauty,+7 499 426-25-15,,"Барыковский пер., 4 строение 3, Москва, Россия, 119034",Москва,4.6,45,Салон красоты,четверг: 08:00–22:00 | пятница: 08:00–22:00 | суббота: 08:00–22:00 | воскресенье: 08:00–22:00 | понедельник: 08:00–22:00 | вторник: 08:00–22:00 | среда: 08:00–22:00,,салоны красоты Москва
"Beauty Lab Store | Салон красоты Лубянка | Парикмахерская, маникюр, ламинирование ресниц",+7 926 100-33-38,http://beautylabstore.ru/,"Лубянский пр-д, 7с1, 1 этаж, Москва, Россия, 101000",Москва,4.8,124,"Салон красоты, Мужская парикмахерская, Студия коррекции бровей, Салон по уходу за ресницами, Салон массажа ног, Визажист, Массажист, Маникюр и педикюр, Окрашивание, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://b11336.yclients.com/company/30381/menu?o=,салоны красоты Москва
Flamingo Beauty Studio,+7 968 792-09-74,http://flamingobeauty.ru/,"Нижний Кисельный пер., 5/23с1, Москва, Россия, 107031",Москва,5,43,"Маникюр и педикюр, Салон красоты, Депиляция",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://yc.gl/book/139005/?rwg_token=AFd1xnGVIHeNIUFaVO4SFJKJy6dW9TCUfaGtXuU3vEbLLl-6v4LXlTXwOUsaLuBJYyT-PKKWJlIb78ClvRDsvfspbPmyuqMTISsmjCppQ547pyNCs2f_GhM%3D,салоны красоты Москва
CELEBRITY,+7 495 721-88-35,https://www.saloncelebrity.ru/,"Малый Черкасский пер., дом 2, 2 этаж, Москва, Россия, 109012",Москва,4.4,102,Салон красоты,четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,,салоны красоты Москва
Салон красоты Москва,+7 916 332-34-33,,"Малый Гнездниковский пер., 12, 2 этаж, Москва, Россия, 119017",Москва,4.6,26,"Салон красоты, Мужская парикмахерская, Студия коррекции бровей, Центр по уходу за лицом, Депиляция, Парикмахерская, Визажист, Маникюр и педикюр, Парикмахер",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: Закрыто | воскресенье: Закрыто | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,,салоны красоты Москва
Mods Hair Paris,+7 499 113-07-55,https://modshairrussia.ru/?utm_source=google_maps,"Валовая ул., 26, Москва, Россия, 115054",Москва,4.9,65,"Салон красоты, Парикмахерская, Маникюр и педикюр",четверг: 09:00–22:00 | пятница: 09:00–22:00 | суббота: 09:00–22:00 | воскресенье: 09:00–22:00 | понедельник: 09:00–22:00 | вторник: 09:00–22:00 | среда: 09:00–22:00,https://sycret.ru/service/ob/#/?apikey=ckr19uz48z14agow&utm_source=google_maps,салоны красоты Москва
AltoSenso,+7 495 785-09-05,http://www.altosenso.ru/,"Тверской б-р, 3, Москва, Россия, 123104",Москва,4.2,35,"Салон красоты, Маникюр и педикюр",четверг: 07:00–22:00 | пятница: 07:00–22:00 | суббота: 08:00–22:00 | воскресенье: 08:00–22:00 | понедельник: 07:00–22:00 | вторник: 07:00–22:00 | среда: 07:00–22:00,https://widget.sonline.su/ru/services/?placeid=116534342&tracking=Google&rwg_token=AFd1xnFA0TC6hJAfORpEa8AA6N9N7zhdR_TNbxtoAf6J-3DlhN76T0xLKPU7zWXjQZ_VidYIIsCHTnuPuvkGkHy83yyPXuO7qA%3D%3D,салоны красоты Санкт-Петербург
Beauty Today,+7 812 986-19-90,https://beautytoday.spb.ru/,"Невский пр., 32-34, Санкт-Петербург, Россия, 191011",Санкт-Петербург,4.4,101,"Салон красоты, Маникюр и педикюр, Парикмахер",четверг: 08:00–22:00 | пятница: 08:00–22:00 | суббота: 08:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 08:00–22:00 | вторник: 08:00–22:00 | среда: 08:00–22:00,https://b21923.yclients.com/company/39913/menu?o= https://yc.gl/book/39913/?rwg_token=AFd1xnETfEJ69k1A4E47VaWvuPIUrsGVjhWyfhyMjfdXBd6xIZra3gzxNDTwty9JsLjUs-maDcdgNRa-TRrm52EA-v2mAAbaP641JFhXUmA98kHuUP7DF0Q%3D,салоны красоты Санкт-Петербург
Имидж-студия Юрия Голикова,+7 905 209-91-19,http://ug-studio.net/,"Дмитровский пер., 16-18/6, Санкт-Петербург, Россия, 191025",Санкт-Петербург,4.8,243,"Салон красоты, Школа парикмахеров, Мужская парикмахерская, Школа красоты, Студия коррекции бровей, Парикмахерская, Имидж-консультант, Окрашивание, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 11:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://yc.gl/book/33033/?rwg_token=AFd1xnEl2CJHhMXRg6ii8XXk9fd79esiVUfFYXULx1vs_piXDRU03z7K5Q6ZIY58WsuFWyxjB7cOmTJvr1kJ-do6_fiDjHEUvg%3D%3D,салоны красоты Санкт-Петербург
Bonne beauty,+7 812 679-75-14,http://bonne-beauty.ru/,"Невский пр., 90/92, Санкт-Петербург, Россия, 191025",Санкт-Петербург,4.6,71,"Салон красоты, Депиляция, Парикмахерская, Массажист, Маникюр и педикюр",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 11:00–20:00 | воскресенье: 11:00–20:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,,салоны красоты Санкт-Петербург
Beauty Room 47,+7 921 983-51-47,https://room47.ru/,"8-я Советская ул., 21, Санкт-Петербург, Россия, 191036",Санкт-Петербург,4.6,238,"Салон красоты, Визажист, Парикмахер",четверг: 11:00–22:00 | пятница: 11:00–22:00 | суббота: 11:00–22:00 | воскресенье: 11:00–22:00 | понедельник: 11:00–22:00 | вторник: 11:00–22:00 | среда: 11:00–22:00,https://yc.gl/book/32491/?rwg_token=AFd1xnHprT-ij3jdXN8_zgo8uvbSmXDa-apCcfqQrKSDJ7lZHBZS2LQvKIYgn1SMGuJQjRGRvtyjq2b3eIlECPx-Tu3rZQ_gCR2gOhYbFP0R4iM0o1xFWD4%3D,салоны красоты Санкт-Петербург
Центр красоты OLA,+7 812 717-00-01,http://www.olacenters.com/,"ул. 2-я Советская д. 25а лит. А, Санкт-Петербург, Россия, 191024",Санкт-Петербург,4.5,86,"Салон красоты, Магазин товаров для салонов красоты, Маникюр и педикюр, Косметологическая клиника, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,,салоны красоты Санкт-Петербург
Салон красоты VICTORIA,+7 812 317-47-47,https://victoria-salon.ru/ligovsky/?utm_source=google_maps&utm_medium=cpc&utm_campaign=geo&utm_content=link&utm_term=ligovsky,"Лиговский пр., 64, 1 этаж, Санкт-Петербург, Россия, 191040",Санкт-Петербург,4.9,64,"Салон красоты, Мужская парикмахерская, Пирсинг-салон, Спа-салон, Центр по уходу за лицом, Депиляция, Парикмахерская, Массажист, Маникюр и педикюр, Восковая депиляция",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–19:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,https://salon1c.ru/widget-org/812447044,салоны красоты Санкт-Петербург
Студия красоты HairFcker,+7 812 507-95-25,https://hairfcker.ru/?utm_source=pinbox&utm_medium=cpc&utm_campaign=geo#%D1%81%D0%B0%D0%BB%D0%BE%D0%BD_%D0%BA%D1%80%D0%B0%D1%81%D0%BE%D1%82%D1%8B,"Казанская ул., 7А, Санкт-Петербург, Россия, 191186",Санкт-Петербург,4.8,561,Салон красоты,четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://yc.gl/book/25089/?rwg_token=AFd1xnFjY3Z8LKypajTO6NwNH2p1_h8CaHlAySIG3vbh_Ow3nrEYka6PL95tY8Ewf3FauvEcMayXDhTI_hYp3bpMiUydTXhUfg%3D%3D,салоны красоты Санкт-Петербург
Имидж-студия Осипова|Салон красоты|Парикмахерская,+7 812 407-34-24,http://b363845.yclients.com/company/346950/select-services?utm_source=2gis&utm_medium=geo&utm_campaign=techno&o=,"7-я Красноармейская ул., 5, Санкт-Петербург, Россия, 190005",Санкт-Петербург,4.7,245,"Салон красоты, Стилист, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,https://n363845.yclients.com/company:346950 https://yc.gl/book/346950/?rwg_token=AFd1xnGRz_ZOnRK5YNX_ojDEMaCVhYtxvk7jpnD8g8ZjC3Sy-sQIs36zqBNu8hVvq7ydULt45NzKDIuic32S51uCI-zD52621146Tlwqg1RJ2PFWTIuLKMk%3D,салоны красоты Санкт-Петербург
Салон красоты City Style,+7 812 294-66-81,https://saloncitystyle.ru/,"Боткинская ул., 15/1, Санкт-Петербург, Россия, 194004",Санкт-Петербург,4.9,117,"Салон красоты, Спа-салон, Депиляция, Парикмахерская, Маникюр и педикюр, Косметологическая клиника",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,https://yc.gl/book/62018/?rwg_token=AFd1xnFx2x5Hj1fUGGfHKJGg75hxrElftdpINIDlbAF41TJYgphuExH_J6Q4PZXyS2FqIICFeOUIaLBoUucgT5VwLvwGSgfMyw%3D%3D,салоны красоты Санкт-Петербург
Салон красоты Персона Галерея Санкт-Петербург,+7 966 750-99-00,https://persona-city.ru/spb-gallery,"Лиговский пр., 30 А, Санкт-Петербург, Россия, 191040",Санкт-Петербург,4.7,521,"Салон красоты, Мужская парикмахерская, Косметолог-эстетист, Парикмахерская, Визажист, Маникюр и педикюр, Окрашивание, Солярий",четверг: 10:00–23:00 | пятница: 10:00–23:00 | суббота: 10:00–23:00 | воскресенье: 10:00–23:00 | понедельник: 10:00–23:00 | вторник: 10:00–23:00 | среда: 10:00–23:00,https://b699325.yclients.com/company/660560/menu?o=,салоны красоты Санкт-Петербург
"Luxe Hair | Салон красоты Садовая | Парикмахерская, окрашивание, кератиновое выпрямление",+7 921 900-40-46,https://luxe-hair-naberezhnaja-kanala-griboedova.clients.site/,"наб. канала Грибоедова, 45, цокольный этаж, Санкт-Петербург, Россия, 191023",Санкт-Петербург,4,300,"Салон красоты, Наращивание волос, Окрашивание, Стилист, Парикмахер",четверг: 10:00–23:00 | пятница: 10:00–23:00 | суббота: 10:00–23:00 | воскресенье: 10:00–23:00 | понедельник: 10:00–23:00 | вторник: 10:00–23:00 | среда: 10:00–23:00,https://yc.gl/book/985221/?rwg_token=AFd1xnGbFGKi2K4YPu0r4Ovh7qH8zAZTnLM2EUHbZ7yDA02vk8mqMTLDGrrImtiJ-DxuSc4FLnpsLcVCuj4aVyK7qD9ONVLaB9wSuJuIaEaDTT3Ua8HUZhU%3D,салоны красоты Санкт-Петербург
UpGrade Beauty Center,+7 921 907-10-10,https://upgrade-beauty.ru/,"Невский пр., дом 166, Санкт-Петербург, Россия, 191024",Санкт-Петербург,4.5,74,"Салон красоты, Пирсинг-салон, Депиляция, Парикмахерская, Лазерная эпиляция, Визажист, Маникюр и педикюр, Косметологическая клиника, Солярий",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,https://b895701.yclients.com/company/830294/menu?o= https://upgrade-beauty.ru/contacts https://yc.gl/book/830294/?rwg_token=AFd1xnEgMOsCsTIRAnDhGp5nJY8GN1GS_7GTsSRBRuz4AhN85FkLnDld5GCY5I9yU2z5VvPQFC59Y3PVvIkz0zdsK8BwTyH7JcvGFPXLeBaWr5p2aWUHWuU%3D,салоны красоты Санкт-Петербург
Салон красоты Престиж,+7 812 314-75-21,http://www.3147521.ru/,,Санкт-Петербург,4.7,99,"Салон красоты, Косметолог-эстетист, Магазин косметики и парфюмерии, Service establishment, Массажист, Маникюр и педикюр, Солярий, Парикмахер",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Санкт-Петербург
"Салон красоты Backstage | Парикмахерская, маникюр Гостиный Двор",+7 812 418-21-31,,"Садовая ул., 8/7, 1 этаж, Санкт-Петербург, Россия, 191011",Санкт-Петербург,4.7,47,"Салон красоты, Мужская парикмахерская, Студия коррекции бровей, Наращивание волос, Депиляция, Визажист, Мастер мехенди, Маникюр и педикюр, Стилист, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,,салоны красоты Санкт-Петербург
Салон красоты Планета Красоты,+7 962 685-81-57,http://www.planetakrasoty.ru/,"Казанская ул., 3, 5 этаж, Санкт-Петербург, Россия, 191186",Санкт-Петербург,4.5,62,"Салон красоты, Косметолог-эстетист, Студия коррекции бровей, Центр по уходу за лицом, Лазерная эпиляция, Массажист, Маникюр и педикюр, Студия перманентного макияжа, Косметологическая клиника, Парикмахер",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Санкт-Петербург
"Dell'Arte | Центр красоты и косметологии | парикмахерская, массаж, косметология, маникюр и педикюр, лазерная эпиляция",+7 999 005-11-90,https://www.dell-arte.club/,"Метро: Пионерская, Коломяжский пр., 28 к2, 1 этаж, Санкт-Петербург, Россия, 197341",Санкт-Петербург,4.7,78,"Салон красоты, Косметолог-эстетист, Центр по уходу за лицом, Лазерная эпиляция, Лимфодренаж, Спа-массаж, Маникюр и педикюр, Студия перманентного макияжа, Косметологическая клиника, Парикмахер",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,https://dell-arte.club/,салоны красоты Санкт-Петербург
Art pro beauty,+7 921 952-61-87,https://artprohair.ru/inv/?utm_source=google,"БЦ Дворец Кваренги, Казанская ул., 7а, лит А, Санкт-Петербург, Россия, 191186",Санкт-Петербург,4.5,130,"Салон красоты, Парикмахер",четверг: 11:30–20:00 | пятница: 11:30–20:00 | суббота: 11:30–20:00 | воскресенье: 11:30–20:00 | понедельник: 11:30–20:00 | вторник: 11:30–20:00 | среда: 11:30–20:00,https://artprohair.ru/profi_hair/?utm_source=googlemaps https://yc.gl/book/180982/?rwg_token=AFd1xnG3IPkKpTCXEOH7w8E82HDvuv91nhXOt5zQd-tAq0IUJeDvI6MZFpyYTBGiwMmvf6CyR177S7S8HEF_JgyxNbXP7OCMbQtrIcKnNSRXy2kGUjTZI64%3D,салоны красоты Санкт-Петербург
PROпорция,+7 981 962-81-02,https://salonprop.com/,"Большой проспект Васильевского острова, 18 литер А, Санкт-Петербург, Россия, 199034",Санкт-Петербург,4.9,85,Салон красоты,четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 15:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,https://yc.gl/book/489453/?rwg_token=AFd1xnGvtfJ0ZKcIC8PmF3Ai6WOBhyr5l9hG7gt0c_EOayAV9z5LeRmFZBhtcpjcrF4lPBT-E728uu5nG0JEUvDIExpwozCReauHIZqhJJ65moRwSnTRmoM%3D,салоны красоты Санкт-Петербург
Розовая пантера,+7 812 947-11-90,,"Лиговский пер., 2, Санкт-Петербург, Россия, 191036",Санкт-Петербург,4.8,56,"Салон красоты, Мужская парикмахерская, Косметолог-эстетист, Центр по уходу за лицом, Массажист, Маникюр и педикюр, Косметологическая клиника, Парикмахер",четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,,салоны красоты Санкт-Петербург
"Kopna, Салон Красоты",+7 911 740-69-07,http://kopnahairclub.ru/,"Почтамтская ул., 8, Санкт-Петербург, Россия, 190000",Санкт-Петербург,4.6,75,Салон красоты,четверг: 10:00–22:00 | пятница: 10:00–22:00 | суббота: 10:00–22:00 | воскресенье: 10:00–22:00 | понедельник: 10:00–22:00 | вторник: 10:00–22:00 | среда: 10:00–22:00,,салоны красоты Новосибирск
"Camille Albane, Салон Красоты",+7 383 217-77-72,https://www.albane.ru/,"ул. Вокзальная Магистраль, 8, Новосибирск, Новосибирская обл., Россия, 630004",Новосибирск,4.7,190,"Салон красоты, Парикмахерская, Маникюр и педикюр",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Новосибирск
GOLOVA. Сеть салонов красоты,+7 923 701-00-11,https://golova.online/,"пр. Карла Маркса, 39, Новосибирск, Новосибирская обл., Россия, 630073",Новосибирск,4.7,225,"Салон красоты, Депиляция, Маникюр и педикюр, Восковая депиляция",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,https://profsalon.org/o/Fcg2st https://yc.gl/book/101400/?rwg_token=AFd1xnFOyHxnCur1_GF-m9y9aZcCQL1zyoPtddmhaE-knBKfyzG_ZM0TcCuhAjTEMJAONFVpLCMO_hdKfim3FZABD3g6wOPqXLEFECjXYEVOTJ7QMvEBVVU%3D,салоны красоты Новосибирск
Famous,+7 383 209-39-20,https://app.arnica.pro/booking,"ул. Семьи Шамшиных, 26, Новосибирск, Новосибирская обл., Россия, 630099",Новосибирск,4.7,149,"Салон красоты, Парикмахер, Депиляция, Маникюр и педикюр, Солярий",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,https://wa.me/79529020026,салоны красоты Новосибирск
